Tip,Fish,Genus,Species,subspecies,ID,Location,NewLocation
AF370082.1,Siphateles bicolor obesa OS 15440-4,Siphateles,bicolor,obesa,OS,"Ana Reservoir, Summer Lake Basin, Lake","Ana Reservoir, Summer Lake Basin, Lake County, Oregon"
AF370083.1,Siphateles bicolor isolata OS 15622-1,Siphateles,bicolor,isolata,OS,"Warm Springs Ranch, Elko County, Nevada","Warm Springs Ranch, Elko County, Nevada"
AF370084.1,Siphateles bicolor isolata OS 15622-3,Siphateles,bicolor,isolata,OS,"Warm Springs Ranch, Elko County, Nevada","Warm Springs Ranch, Elko County, Nevada"
AF370085.1,Siphateles bicolor newarkensis OS 15743-1,Siphateles,bicolor,newarkensis,OS,"Fish Creek Springs, Eureka County, Nevada","Fish Creek Springs, Eureka County, Nevada"
AF370086.1,Siphateles bicolor newarkensis OS 15743-2,Siphateles,bicolor,newarkensis,OS,"Fish Creek Springs, Eureka County, Nevada","Fish Creek Springs, Eureka County, Nevada"
AF370087.1,Siphateles bicolor newarkensis OS 15744-1,Siphateles,bicolor,newarkensis,OS,"Circle Ranch, White Pine County, Nevada","Circle Ranch, White Pine County, Nevada"
AF370088.1,Siphateles bicolor newarkensis OS 15744-2,Siphateles,bicolor,newarkensis,OS,"Circle Ranch, White Pine County, Nevada","Circle Ranch, White Pine County, Nevada"
AF370089.1,Siphateles bicolor eurysoma OS 15572-1,Siphateles,bicolor,eurysoma,OS,"Three Mile Reservoir, Catlow Valley, Harney","Three Mile Reservoir, Catlow Valley, Harney County, Oregon"
AF370090.1,Siphateles bicolor eurysoma OS 15572-2,Siphateles,bicolor,eurysoma,OS,"Three Mile Reservoir, Catlow Valley, Harney","Three Mile Reservoir, Catlow Valley, Harney County, Oregon"
AF370091.1,Siphateles bicolor eurysoma OS 15572-3,Siphateles,bicolor,eurysoma,OS,"Three Mile Reservoir, Catlow Valley, Harney","Three Mile Reservoir, Catlow Valley, Harney County, Oregon"
AF370092.1,Siphateles bicolor eurysoma OS 15635-1,Siphateles,bicolor,eurysoma,OS,"Rock Creek, Catlow Valley, Harney County,","Rock Creek, Catlow Valley, Harney County, Oregon"
AF370093.1,Siphateles bicolor eurysoma OS 15635-2,Siphateles,bicolor,eurysoma,OS,"Rock Creek, Catlow Valley, Harney County,","Rock Creek, Catlow Valley, Harney County, Oregon"
AF370094.1,Siphateles bicolor eurysoma OS 15635-3,Siphateles,bicolor,eurysoma,OS,"Rock Creek, Catlow Valley, Harney County,","Rock Creek, Catlow Valley, Harney County, Oregon"
AF370095.1,Siphateles bicolor eurysoma PMH9504-3,Siphateles,bicolor,eurysoma,PMH9504,"Skull Creek, Catlow Valley, Harney County,","Skull Creek, Catlow Valley, Harney County, Oregon"
AF370096.1,Siphateles bicolor eurysoma PMH9505-1,Siphateles,bicolor,eurysoma,PMH9505,"Roaring Springs, Catlow Valley, Harney","Roaring Springs, Catlow Valley, Harney County, Oregon"
AF370097.1,Siphateles bicolor eurysoma PMH9505-2,Siphateles,bicolor,eurysoma,PMH9505,"Roaring Springs, Catlow Valley, Harney","Roaring Springs, Catlow Valley, Harney County, Oregon"
AF370098.1,Siphateles bicolor eurysoma PMH9505-3,Siphateles,bicolor,eurysoma,PMH9505,"Roaring Springs, Catlow Valley, Harney","Roaring Springs, Catlow Valley, Harney County, Oregon"
AF370099.1,Siphateles bicolor eurysoma OS 15574-4,Siphateles,bicolor,eurysoma,OS,"Fish Creek, Guano Valley, Washoe County,","Fish Creek, Guano Valley, Washoe County, Nevada"
AF370100.1,Siphateles bicolor columbianus OS 15577-4,Siphateles,bicolor,columbianus,OS,"Silver Creek, Harney County, Oregon","Silver Creek, Harney County, Oregon"
