GVL_Code,SampleName,Vicinity,Tributary/Collection Location
NEP17_07,OWEN_NEPD_2017_007_K,Owens River,NE Pond (White Mountain Research Center)
NEP17_08,OWEN_NEPD_2017_008_K,Owens River,NE Pond (White Mountain Research Center)
NEP17_09,OWEN_NEPD_2017_009_K,Owens River,NE Pond (White Mountain Research Center)
NEP17_10,OWEN_NEPD_2017_010_K,Owens River,NE Pond (White Mountain Research Center)
NEP17_11,OWEN_NEPD_2017_011_K,Owens River,NE Pond (White Mountain Research Center)
NEP17_12,OWEN_NEPD_2017_012_K,Owens River,NE Pond (White Mountain Research Center)
NEP17_13,OWEN_NEPD_2017_013_K,Owens River,NE Pond (White Mountain Research Center)
NEP17_14,OWEN_NEPD_2017_014_K,Owens River,NE Pond (White Mountain Research Center)
NEP17_15,OWEN_NEPD_2017_015_K,Owens River,NE Pond (White Mountain Research Center)
NEP17_16,OWEN_NEPD_2017_016_K,Owens River,NE Pond (White Mountain Research Center)
NEP17_17,OWEN_NEPD_2017_017_K,Owens River,NE Pond (White Mountain Research Center)
NEP17_18,OWEN_NEPD_2017_018_K,Owens River,NE Pond (White Mountain Research Center)
NEP17_19,OWEN_NEPD_2017_019_K,Owens River,NE Pond (White Mountain Research Center)
NEP17_20,OWEN_NEPD_2017_020_K,Owens River,NE Pond (White Mountain Research Center)
NEP17_21,OWEN_NEPD_2017_021_K,Owens River,NE Pond (White Mountain Research Center)
NEP17_22,OWEN_NEPD_2017_022_K,Owens River,NE Pond (White Mountain Research Center)
NEP17_23,OWEN_NEPD_2017_023_K,Owens River,NE Pond (White Mountain Research Center)
NEP17_24,OWEN_NEPD_2017_024_K,Owens River,NE Pond (White Mountain Research Center)
NEP17_25,OWEN_NEPD_2017_025_K,Owens River,NE Pond (White Mountain Research Center)
OGU22_01,OWEN_GORG_2022_001_L,Owens River,Upper Owens Gorge
OGU22_03,OWEN_GORG_2022_003_L,Owens River,Upper Owens Gorge
OGU22_04,OWEN_GORG_2022_004_L,Owens River,Upper Owens Gorge
OGU22_05,OWEN_GORG_2022_005_L,Owens River,Upper Owens Gorge
OGU22_06,OWEN_GORG_2022_006_L,Owens River,Upper Owens Gorge
OGU22_08,OWEN_GORG_2022_008_L,Owens River,Upper Owens Gorge
OGU22_09,OWEN_GORG_2022_009_L,Owens River,Upper Owens Gorge
OGU22_10,OWEN_GORG_2022_010_L,Owens River,Upper Owens Gorge
OGU22_11,OWEN_GORG_2022_011_L,Owens River,Upper Owens Gorge
OGU22_12,OWEN_GORG_2022_012_L,Owens River,Upper Owens Gorge
OGU22_13,OWEN_GORG_2022_013_L,Owens River,Upper Owens Gorge
STO98_09,MAMM_SOTR_1998_009_L,Mammoth Mountain,"Sotcher Lake Outlet, Reds Meadow Creek"
STO98_13,MAMM_SOTR_1998_013_L,Mammoth Mountain,"Sotcher Lake Outlet, Reds Meadow Creek"
STO22_01,MAMM_SOTR_2022_001_L,Mammoth Mountain,Sotcher Lake
STO22_02,MAMM_SOTR_2022_002_L,Mammoth Mountain,Sotcher Lake
STO22_03,MAMM_SOTR_2022_003_L,Mammoth Mountain,Sotcher Lake
STO22_04,MAMM_SOTR_2022_004_L,Mammoth Mountain,Sotcher Lake
STO22_05,MAMM_SOTR_2022_005_L,Mammoth Mountain,Sotcher Lake
STO22_06,MAMM_SOTR_2022_006_L,Mammoth Mountain,Sotcher Lake
STO22_07,MAMM_SOTR_2022_007_L,Mammoth Mountain,Sotcher Lake
SEP22_01,OWEN_SEPD_2022_001_L,Owens River,SE Pond (White Mountain Research Center)
SEP22_11,OWEN_SEPD_2022_011_L,Owens River,SE Pond (White Mountain Research Center)
SWP22_13,OWEN_SWPD_2022_013_L,Owens River,SW Pond (White Mountain Research Center)
SWP22_15,OWEN_SWPD_2022_015_L,Owens River,SW Pond (White Mountain Research Center)
SWP22_17,OWEN_SWPD_2022_017_L,Owens River,SW Pond (White Mountain Research Center)
SWP22_19,OWEN_SWPD_2022_019_L,Owens River,SW Pond (White Mountain Research Center)
LHC02_224,OWEN_LHTC_2002_224_M,Owens River,Little Hot Creek Pond
LHC02_237,OWEN_LHTC_2002_237_M,Owens River,Little Hot Creek Pond
LHC02_238,OWEN_LHTC_2002_238_M,Owens River,Little Hot Creek Pond
LHC02_239,OWEN_LHTC_2002_239_M,Owens River,Little Hot Creek Pond
LHC02_243,OWEN_LHTC_2002_243_M,Owens River,Little Hot Creek Pond
LHC02_246,OWEN_LHTC_2002_246_M,Owens River,Little Hot Creek Pond
LHC02_249,OWEN_LHTC_2002_249_M,Owens River,Little Hot Creek Pond
OGU01_111,OWEN_GORG_2001_111_M,Owens River,Upper Owens Gorge
OGU01_118,OWEN_GORG_2001_118_M,Owens River,Upper Owens Gorge
STO02_204,MAMM_SOTR_2002_204_O,Mammoth Mountain,Sotcher Lake
STO02_207,MAMM_SOTR_2002_207_O,Mammoth Mountain,Sotcher Lake
STO02_208,MAMM_SOTR_2002_208_O,Mammoth Mountain,Sotcher Lake
STO02_209,MAMM_SOTR_2002_209_O,Mammoth Mountain,Sotcher Lake
STO02_210,MAMM_SOTR_2002_210_O,Mammoth Mountain,Sotcher Lake
